id	name	owner.firstName	owner.lastName	street	streetNumber	zip	city	coordinates	image	description	email	phone	whatsApp	instagram	facebook	otherContacts	website	onlineShop	delivery.collect	delivery.deliveryByOwner	delivery.deliveryByService	paymentMethods.invoice	paymentMethods.paypal	paymentMethods.creditcard	paymentMethods.cash	paymentMethods.onDelivery	paymentMethods.sofort	paymentMethods.amazon	category	DSGVO Bestätigung
AXA	AXA Kretzler & Eisinger oHG	Michael	Eisinger	Franckstraße	19	71665	Vaihingen an der Enz	48.9318199,8.959742	Kann aus Google verwendet werden	Onlineberatung über Skype, Telefonische Beratung	michael.eisinger@axa.de	07042-818550	0171-3676866	nein	AXA-Versicherungsbüro-Kretzler-Eisinger-OHG-891681737556290		https://www.axa-betreuer.de/kretzler-eisinger												Versicherungen / Finanzdienstleistungen	OK
MediaWorld	Media-World Michael Eisinger	Michael	Eisinger	Franckstraße	19	71665	Vaihingen an der Enz	48.9318199,8.959742	Kann aus Google verwendet werden	Veranstaltungen, Open Air Kino	michael.eisinger@openairkino-bw.de	07042-8185512	0171-3676866	ja	OpenAirKinoBW		www.openairkino-bw.de	www.openairkino-bw.de			Ja		Ja	Ja	Ja		Ja	Ja	Veranstaltungen, Kino, Open Air	OK
Weltladen	Weltladen Vaihingen	Viola	Sternberger	Stuttgarter Str.	12	71665	Vaihingen an der Enz	48.9314506,8.958109	auf der Homepage: www.weltladen-vaihingen.de	Fair produzierte Lebensmittel und Kunsthandwerk-vom leckeren Bio Arabica Kaffee aus Äthiopien bis hin zu Holzschalen aus Zimbabwe. Wir freuen uns auf Ihren virtuellen Besuch in unserem Weltladen!	laden@weltladen-vaihingen.de	15226197206	Nein	nein	nein		weltladen-vaihingen.de		Ja	Ja	Nein	Ja	Nein						Lebensmittel, Kunsthandwerk	
Biohof	Biohof-Braun	Michael und Brunhilde	Braun	Hohbergstraße 	14	71665	Vaihingen an der Enz	48.91620475,8.93529485	Kann von der Website verwendet werden	Lieferservice für Biolebensmittel, eigene Erzeugung, Landwirtschaft und Gärtnerei	info@biohof-braun.de	07042 92064		biohofbraun	Biohof-Braun-357183897701402		https://www.biohof-braun.de/	https://www.biohof-braun.de/shop/?np=Gemüse	Ja	Ja	Ja	Ja	Nein	Nein	Nein	Nein	Nein	Nein	Obst, Gemüse, Milchprodukte, Mehl, Müsli, Säfte Tomatenprodukte, konserven, Wein, Wasser, Fleisch, Wurst, Kosmektik	
WeingutWalz	Weingut Walz	Bastian	Walz	Seehau	1	71665	Vaihingen an der Enz	48.972814,8.939241966556217	siehe Google, alternativ nochmal melden	In Ensingen, umgeben von intakter Natur, liegt unser Familienweingut. Dort stehen wir für intensive Rotweine, wie auch frische Weiß- und Roséweine. Lieferung: ab 12 Flaschen	Mara@Walz-Wein.de	07042-21468	0151-50677729	weingutwalz	weingutwalz		www.walz-wein.de	www.walz-wein.de/weine/	Ja	Ja	Ja	Ja	Ja	Ja	Ja	Nein	Ja	Nein	Wein, Getränke, Sekt, Secco, Rotwein, Weißwein	
Watschönet	WATSCHÖNET	Emmely	Luedecke	Seemühle	11	71665	Vaihingen an der Enz	48.9385534,8.9408014	Instagram, Homepage	"Bist Du auf der Suche nach individuellen Designs kombiniert mit außergewöhnlichen Materialien? Hier bist Du richtig! Bei WATSCHÖNET gibt es einzigartige Illustrationen, verknüpft mit verschiedenen Druck- & Lasertechniken – ganz nach Deinem Geschmack. Ob Einladungskarten, Menükarten, Platzkarten, Tischkarten, Gästebuch, Dankeskarten für private Anlässe wie Hochzeit, Taufe, Babyparty und Geburtstag, Geschenke oder hochwertige Designs für Dein Business – der Fantasie sind keine Grenzen gesetzt!"	emmy@watschoenet.de	1716981068	0171 6981068	watschoenet	watschoenet		www.watschoenet.de		Ja	Ja	Ja	Ja	Nein	Nein	Ja	Nein	Ja	Nein	Kartendesign, Grafikdesign, Papeterie, Druck- & Lasertechniken	OK
Lasergut	LASERGUT	Emmely	Luedecke	Tafingerstraße	14	71665	Vaihingen an der Enz	48.9427428,8.958238	Instagram, Homepage	"Wir gravieren und schneiden unterschiedlichste Materialien mittels Lasertechnologie. Ob Werbemittel, Modellbau, Prototypenbau, Typenschilder, Gestaltungselemente oder eine Hochzeitskarte – Ihr Projekt ist bei uns in den besten Händen. Wir unterstützen Sie von Anfang an – von der Erstellung der Daten, über die Auswahl des passenden Materials bis zur Fertigung und dem fertigen Produkt."	projekt@lasergut.de	1716981068	0171 6981068	lasergut	lasergut		www.lasergut.de		Ja	Ja	Ja	Ja	Nein	Nein	Ja	Nein	Ja	Nein	Laser- & Gravurarbeiten, Lasercut	
Blessing	Blessings 4 you Buchhandlung und Schreibwaren	Tobias	Blessing	Marktplatz	7	71665	Vaihingen an der Enz	48.9323565,8.9568606	Gerne von google oder der Homepage	Die Buchhandlung und das Schreibwarenfachgeschäft mit großer Auswahl und fachkundiger Beratung direkt am Marktplatz. Unser freundliches Team ist gerne für Dich da!	vaihingen@blessings4you.de	07042/91160	0176/55016230	b4y.buchhandlungen	b4y.vaihingenenz		www.blessings4you.de	www.buch1.com	Ja	Ja	Ja	Ja	Ja	Ja	Ja	Nein	Nein	Nein	Bücher, Geschenke, Schreibwaren, Büromaterial, Spiele	
WildReiß	WildReiß	"Nadine
Carina"	"Wild
Reiß"	Stuttgarter Str.	7a	71665	Vaihingen an der Enz	48.9316709,8.9574128	Kann aus Google verwendet werden	Bei WildReiß findet Ihr hochwertige, handgemachte Bekleidung für Kinder und Damen. Ergänzt wird das Angebot mit schönen Accessoires rund ums Kind.Für alle Kreativen gibt es auch eine Auswahl an Stoffen.	info@wildreiss.de	07042/2859961	0177/7454596	wildreiss_kindermode	WildReissShop		www.wildreiss.de	www.wildreiss.de	Ja	Ja	Ja	Ja	Ja	Ja	Ja	Nein	Nein	Nein	"Kleidung, Accesoires, Geschenke,
Stoffe"	ok
Corleo	CORLEO	Yvonne	Volke	Stuttgarter Str. 	 9-11	71665	Vaihingen an der Enz	48.9316318,8.9582304	Kann aus Google verwendet werden	Cafe Corleo bietet Burger, Salate und leckere regionale Gerichte zur Abholung und zur Lieferung an. Wir freuen uns über eure Bestellung per Email oder telefonisch. Euer CORLEO-Team	info@cafe-corleo.de	07042/9661070		cafecorleo	cafecorleo		www.corleo.de		Ja	Ja	Nein	Nein	Ja	Ja	Nein	Nein	Ja	Nein	Essen, Speisen, Trinken, Burger, 	
Lamm	LAMM Horrheim	Patricia 	Gschwender	Klosterbergstr. 	45	71665	Vaihingen an der Enz	48.9789244,8.9884052	Kann aus Google verwendet werden	Leckere regionale Küche ! Derzeit eine kleine Auswahl zur Auslieferung oder zur Abholung. Für die Ostertage haben wir zwei Ostermenüs vorbereitet, die Sie kurzerhand selbst zu Hause zubereiten können! 	info@hotel-lamm-horrheim.de	07042/8322-0		hotel-lamm-horrheim	Hotel.Gasthof.Lamm		www.hotel-lamm-horrheim.de		Ja	Ja	Nein	Nein	Nein	Ja	Nein	Nein	Ja	Nein	Essen, Speisen	
EnzweihingerMühle	Enzweihinger Mühle Häußermann	Ulrich 	Häußermann	Am Strudelbach	7	71665	Vaihingen an der Enz	48.9160118,8.982228		In unserm Mühlenlädle finden Sie alles rund ums Korn: Mehl +Vollkornschrote aus Weizen/Roggen/Dinkel, Brotbackmischungen, Naturkostprodukte	enzweihinger-muehle@t-online.de	07042/4884	Nein	nein	nein		www.enzweihinger-muehle.de		Ja	Nein	Ja	Ja	Nein	Nein	Ja	Nein	Nein		Lebensmittel, Mehl 	OK
anziehbar	Anziehbar Mode&Mehr	Mathias	Ensinger	Stuttgarter Strasse 	7	71665	Vaihingen an der Enz	48.9316849,8.9557976		Mode vo s.Oliver, Buenavista, Key Largo, Heimatliebe dazu Geschenkartikel	info@ensinger-mode.de	07042/3767856	0172-7336698	nein 	nein		www.anziehbar.net		Ja	Ja		Ja	Nein		Ja				Kleidung, Geschenkartikel	OK
Trauringwerk	Trauringwerk	"Sabine
Susanne"	"Jordan
Korz"	Seemühle	11	71665	Vaihingen an der Enz	48.9385535,8.9408013	Kann aus Google verwendet werden	Das Trauringwerk mit eigener Goldschmiede bietet nicht nur Trauringe und Verlobungsringe an, sondern auch handgefertigten Schmuck in Silber,Gold oder Platin,sowie Reparaturen.	info@trauringwerk.com	07042/9663250	0160/97960680	trauringwerk	Trauringwerk-1433892116940084		www.trauringwerk.com		Ja	Ja	Ja	Ja	Nein	Ja	Ja	Nein	Nein	Nein	"Schmuck, Trauringe, Verlobungsring,
Goldschmiede"	OK
TöpfereiBauer	TÖPFEREI  BAUER	Sabine	Noe-Bauer	Markplatz	20	71665	Vaihingen an der Enz	48.9320836,8.9539713	Wetransfer	Geschirr, Geschenke und mehr… Unsere Produktion läuft weiter! Bestellungen und Wünsche erreichen uns telefonisch, per Email und Online. Abholungen  nach Absprache. Wir machen vieles möglich und freuen uns auf Ihre Anfragen! 	toepferei.bauer@web.de	07042-911111		nein	nein			toepferei-shop.com	Ja	Nach Absprache (Stadtgebiet Vaihingen)	Ja	Vorkasse	Ja		Ja				Keramik, Töpferei Geschirr, Geschenkartikel	
Mesinger	Mesinger Optik & Optometrie	Tanja	Mesinger	Heilbronner Str. 	10	71665	Vaihingen an der Enz	48.9327672,8.9554832	Kann aus Google verwendet werden	Augenoptiker Fachgeschäft 	info@mesinger-optik-uhren.de	07042/4233		nein	Mesinger-Optik-und-Optometrie-228715433806033		www.mesinger-opti.de		Ja	Ja	Ja	Ja	Ja	Nein	Ja	Nein	Ja	Nein	Brillen, Sonnenbrillen, Kontaktlinsen	OK
Naturata	Naturata bio-markt	Klaus 	Gayer	Stuttgarterstr.	46-52	71665	Vaihingen an der Enz	48.9301981,8.9571533	Wetransfer	Ihr Bio-Supermarkt in Vaihingen 	naturkost-am-markt@freenet.de	07042 12330		nein	nein 		https://www.echt-bio.de/biomarkt/naturata-bio-markt/ 		Ja	Ja		Ja	Nein	Nein	Ja	Nein	Nein	Nein	Lebensmittel, Bio 	
VKZReisebüro	VKZ Reisebüro	Vaihinger	Kreiszeitung	Marktplatz 	15	71665	Vaihingen an der Enz	48.9318235,8.9548113	Kann aus Google verwendet werden	Das VKZ Reisebüro hat für Dich immer die schönsten Reiseziele und die beste Beratung auf Lager, auch per E-Mail und telefonisch.	vkz.reisebuero@derpart.com	07042/91930		vkz.reisebuero	vkzreisebuero		www.derpart.com/vkz-reisebuero	www.derpart.com/vkz-reisebuero/reise-angebote	Nein	Nein	per E-Mail und Post	Ja	Nein	Ja	Nein	Nein	Nein	Nein	Reisen und Veranstaltungen	
VKZ	VKZ	Vaihinger	Kreiszeitung	Marktplatz 	15	71665	Vaihingen an der Enz	48.9149856,9.0030701	Kann aus Google verwendet werden	Mitten in Vaihingen, direkt am Marktplatz, hat die VAIHINGER KREISZEITUNG ihren Sitz. Seit 1830 versorgt die Lokalzeitung ihre Leser mit Nachrichten aus der Heimatregion – aktuell, umfassend und zuverlässig. 	vertrieb@vkz.de anzeigen@vkz.de	07042/9190		vaihingerkreiszeitung	VaihingerKreiszeitung		https://www.vkz.de/	https://www.vkz.de/abo-service/	Nein	Nein	per E-Mail 	Ja	Nein	Nein	Nein	Nein	Nein	Nein	Vertrieb und Anzeigen	OK
