name	ownerFirstName	ownerLastName	street	streetNumber	zip	city	image	description	email	phone	whatsapp	instagram	facebook	otherContacts	homepage	onlineShop	deliveryCollect	deliveryByOwner	deliveryByService	paymentInvoice	paymentPaypal	paymentCreditcard	paymentCash	paymentOnDelivery	paymentSofort	paymentAmazon	category
TUI Reisecenter	Andreas	Schaller	Stuttgarter Str.	33	71665	Vaihingen	Kann aus Google verwendet werden	Die Liebe zum Detail wird bei uns groß geschrieben, damit Ihr Urlaub etwas ganz Besonderes wird. Ob Rundreisen, Pauschalreisen, Kreuzfahrten oder Ferienhäuser - wir haben in unserem Team für jeden Urlaubswunsch den richtigen Spezialisten. Ausgezeichnet von der TUI mit „ Club der Besten 2017-2019“.	Vaihingen1@tui-reisecenter.de	07042/93300	704293300	https://www.facebook.com/TUIReisecenterVaihingen/			tui-reisecenter.de/vaihingen1					ja	nein	ja	ja	nein	ja	nein	Reisebüro
Weinhandlung Posch	Carsten	Posch	Mühlstrasse	1	71665	Vaihingen	Wetransfer	m historischen Gewölbekeller in der Mühlstrasse 1 finden Sie uns mit einer Auswahl von über 220 verschiedener Tropfen der Region und internationalen Anbaugebieten.	wein@weinhandlung-posch.de 	07042/3599094	0172/7084710	https://www.instagram.com/vaisommelier/	www.facebook.com/Sommelier71665/		www.weinhandlung-posch.de		ja	ja ab 30€	ja	ja	ja	nein	ja	nein	ja	nein	Wein, Spirituosen,Feinkost, Feiern
Sternschnuppe	Doris	Engelhardt	Stuttgarterstasse 	18	71665	Vaihingen	Wetransfer	Unser kleines Fachgeschäft hat ständig neue Ideen für dich bereit. Wir freuen uns mit Dir zusammen auf eine virtuelle Entdeckungsreise in unser Lädchen zu gehen. 	info@sternschnuppe-vaihingen.de	07042/940058		https://www.instagram.com/sternschnuppe_vaihingen_enz/	https://www.facebook.com/sternschnuppe.vai/		www.sternschnuppe-vaihingen.de		Ja	In der aktuellen Lage ja. Ab 15 € in Vaihingen kostenlos.	Ja	Ja	Nein	Nein	Ja	Nein	Nein	Nein	Tee, Kaffee, Süßes, Herzhaftes, Geschenke, Deko 
AXA Kretzler & Eisinger oHG	Michael	Eisinger	Franckstraße	19	71665	Vaihingen	Kann aus Google verwendet werden	Onlineberatung über Skype, Telefonische Beratung	michael.eisinger@axa.de	07042-818550	0171-3676866		https://www.facebook.com/AXA-Versicherungsb%C3%BCro-Kretzler-Eisinger-OHG-891681737556290/notifications/		https://www.axa-betreuer.de/kretzler-eisinger												Versicherungen / Finanzdienstleistungen
Media-World Michael Eisinger	Michael	Eisinger	Franckstraße	19	71665	Vaihingen	Kann aus Google verwendet werden	Veranstaltungen, Open Air Kino	michael.eisinger@openairkino-bw.de	07042-8185512	0171-3676866	ja	ja		www.openairkino-bw.de	www.openairkino-bw.de			ja		ja	ja	ja		ja	ja	Veranstaltungen, Kino, Open Air
Weltladen Vaihingen	Viola	Sternberger	Stuttgarter Str.	12	71665	Vaihingen an der Enz	auf der Homepage: www.weltladen-vaihingen.de	Fair produzierte Lebensmittel und Kunsthandwerk-vom leckeren Bio Arabica Kaffee aus Äthiopien bis hin zu Holzschalen aus Zimbabwe. Wir freuen uns auf Ihren virtuellen Besuch in unserem Weltladen!	laden@weltladen-vaihingen.de	15226197206	nein	nein		nein	weltladen-vaihingen.de		ja	ja	nein	ja	nein						Lebensmittel, Kunsthandwerk
Biohof-Braun	Michael und Brunhilde	Braun	Hohbergstraße 	14	71665	Vaihingen	Kann von der Website verwendet werden	Lieferservice für Biolebensmittel, eigene Erzeugung, Landwirtschaft und Gärtnerei	info@biohof-braun.de	07042 92064		https://www.instagram.com/biohofbraun/	https://www.facebook.com/Biohof-Braun-357183897701402/		https://www.biohof-braun.de/	https://www.biohof-braun.de/shop/?np=Gemüse	ja	ja	ja	ja per Lastschrift	nein	nein	nein	nein	nein	nein	Obst, Gemüse, Milchprodukte, Mehl, Müsli, Säfte Tomatenprodukte, konserven, Wein, Wasser, Fleisch, Wurst, Kosmektik
Weingut Walz	Bastian	Walz	Seehau	1	71665	Vaihingen/Enz	siehe Google, alternativ nochmal melden	In Ensingen, umgeben von intakter Natur, liegt unser Familienweingut. Dort stehen wir für intensive Rotweine, wie auch frische Weiß- und Roséweine.	Mara@Walz-Wein.de	07042-21468	0151-50677729	www.instagram.com/weingutwalz	www.facebook.com/weingutwalz	-	www.walz-wein.de	www.walz-wein.de/weine/	Ja	ab 12 Flaschen	ab 12 Flaschen	Ja	Ja	Ja	Ja	Nein	Ja	Nein	Wein, Getränke, Sekt, Secco, Rotwein, Weißwein
WATSCHÖNET	Emmely	Luedecke	Seemühle	11	71665	Vaihingen/Enz	Instagram, Homepage	Bist Du auf der Suche nach individuellen Designs kombiniert mit außergewöhnlichen Materialien? Hier bist Du richtig! Bei WATSCHÖNET gibt es einzigartige Illustrationen, verknüpft mit verschiedenen Druck- & Lasertechniken – ganz nach Deinem Geschmack. Ob Einladungskarten, Menükarten, Platzkarten, Tischkarten, Gästebuch, Dankeskarten für private Anlässe wie Hochzeit, Taufe, Babyparty und Geburtstag, Geschenke oder hochwertige Designs für Dein Business – der Fantasie sind keine Grenzen gesetzt!	emmy@watschoenet.de	1716981068	0171 6981068	watschoenet	watschoenet		www.watschoenet.de		ja	ja	ja	ja	nein	nein	ja	nein	ja	nein	Kartendesign, Grafikdesign, Papeterie, Druck- & Lasertechniken
LASERGUT	Emmely	Luedecke	Tafingerstraße	14	71665	Vaihingen/Enz	Instagram, Homepage	Wir gravieren und schneiden unterschiedlichste Materialien mittels Lasertechnologie. Ob Werbemittel, Modellbau, Prototypenbau, Typenschilder, Gestaltungselemente oder eine Hochzeitskarte – Ihr Projekt ist bei uns in den besten Händen. Wir unterstützen Sie von Anfang an – von der Erstellung der Daten, über die Auswahl des passenden Materials bis zur Fertigung und dem fertigen Produkt.	projekt@lasergut.de	1716981068	0171 6981068	lasergut	lasergut		www.lasergut.de		ja	ja	ja	ja	nein	nein	ja	nein	ja	nein	Laser- & Gravurarbeiten, Lasercut
Blessings 4 you Buchhandlung und Schreibwaren	Tobias	Blessing	Marktplatz	7	71665	Vaihingen an der Enz	Gerne von google oder der Homepage	Die Buchhandlung und das Schreibwarenfachgeschäft mit großer Auswahl und fachkundiger Beratung direkt am Marktplatz. Unser freundliches Team ist gerne für Dich da!	vaihingen@blessings4you.de	07042/91160	0176/55016230	www.instagram.com/b4y.buchhandlungen	www.facebook.de/b4y.vaihingenenz		www.blessings4you.de	www.buch1.com	Ja	Ja	Ja	Ja	Ja	Ja	Ja	Nein	Nein	Nein	Bücher, Geschenke, Schreibwaren, Büromaterial, Spiele
WildReiß	Nadine																										
Carina	Wild																										
Reiß	Stuttgarter Str.	7a	71665	Vaihingen / Enz	Kann aus Google verwendet werden	Bei WildReiß findet Ihr hochwertige, handgemachte Bekleidung für Kinder und Damen. Ergänzt wird das Angebot mit schönen Accessoires rund ums Kind.Für alle Kreativen gibt es auch eine Auswahl an Stoffen.	info@wildreiss.de	07042/2859961	0177/7454596	https://www.instagram.com/wildreiss_kindermode/	https://www.facebook.com/WildReissShop/		www.wildreiss.de	www.wildreiss.de	Ja	Ja	Ja	Ja	Ja	Ja	Ja	Nein	Nein	Nein	Kleidung, Accesoires, Geschenke,		
Stoffe																											
CORLEO	Yvonne	Volke	Stuttgarter Str. 	 9-11	71665	Vaihingen/Enz	Kann aus Google verwendet werden	Cafe Corleo bietet Burger, Salate und leckere regionale Gerichte zur Abholung und zur Lieferung an. Wir freuen uns über eure Bestellung per Email oder telefonisch. Euer CORLEO-Team	info@cafe-corleo.de	07042/9661070		Account Link	Account Link		www.corleo.de		Ja	Ja	Nein	Nein	Ja	Ja	Nein	Nein	Ja	Nein	Essen, Speisen, Trinken, Burger, 
LAMM Horrheim	Patricia 	Gschwender	Klosterbergstr. 	45	71665	Vaihingen/Enz	Kann aus Google verwendet werden	Leckere regionale Küche ! Derzeit eine kleine Auswahl zur Auslieferung oder zur Abholung. Für die Ostertage haben wir zwei Ostermenüs vorbereitet, die Sie kurzerhand selbst zu Hause zubereiten können! 	info@hotel-lamm-horrheim.de	07042/8322-0		Account Link	Account Link		www.hotel-lamm-horrheim.de		Ja	Ja	Nein	Nein	Nein	Ja	Nein	Nein	Ja	Nein	Essen, Speisen
Enzweihinger Mühle Häußermann	Ulrich 	Häußermann	Am Strudelbach	7	71665	Vaihingen Ortsteil Enzweihingen		In unserm Mühlenlädle finden Sie alles rund ums Korn: Mehl +Vollkornschrote aus Weizen/Roggen/Dinkel, Brotbackmischungen, Naturkostprodukte	enzweihinger-muehle@t-online.de	07042/4884	-	-	-	Fax. 07042/92156	www.enzweihinger-muehle.de	Anfragen per Mail nach Verfügbarkeit	Ja, mind. 1 Werktag nach Verfügbarkeit	Nein	Ja, Portokosten nach Gewicht	Ja	Nein	Nein	Ja	Nein	Nein		Lebensmittel, Mehl 
Anziehbar Mode&Mehr	Mathias	Ensinger	Stuttgarter Strasse 	7	71665	Vaihingen/Enz	?	Mode vo s.Oliver, Buenavista, Key Largo, Heimatliebe dazu Geschenkartikel	info@ensinger-mode.de	07042/3767856	0172-7336698	nein 	nein		www.anziehbar.net		Ja	Ja		Ja	Nein		Ja				Kleidung, Geschenkartikel
Trauringwerk	Sabine																										
Susanne	Jordan																										
Korz	Seemühle	11	71665	Vaihinhen/Roßwag	Kann aus Google verwendet werden	Das Trauringwerk mit eigener Goldschmiede bietet nicht nur Trauringe und Verlobungsringe an, sondern auch handgefertigten Schmuck in Silber,Gold oder Platin,sowie Reparaturen.	info@trauringwerk.com	07042/9663250	0160/97960680	https://www.instagram.com/trauringwerk/?hl=de	https://www.facebook.com/Trauringwerk-1433892116940084/?ref=aymt_homepage_panel&eid=ARCvCu72lLmCafeOZpTlpxH-23DvtHhfZqzL77Yu3XCmGyD6hhts_8mxa8G9hH82uqd4EOuXm4_T1QDX		www.trauringwerk.com		Ja	Ja	Ja	Ja	Nein	Ja	Ja	Nein	Nein	Nein	Schmuck, Trauringe, Verlobungsring,		
Goldschmiede																											
TÖPFEREI  BAUER	Sabine	Noe-Bauer	Markplatz	20	71665	Vaihingen / Enz	Wetransfer	Geschirr, Geschenke und mehr… Unsere Produktion läuft weiter! Bestellungen und Wünsche erreichen uns telefonisch, per Email und Online. Abholungen  nach Absprache. Wir machen vieles möglich und freuen uns auf Ihre Anfragen! 	toepferei.bauer@web.de	07042-911111						toepferei-shop.com	Ja	Nach Absprache (Stadtgebiet Vaihingen)	Ja	Vorkasse	Ja		Ja				Keramik, Töpferei Geschirr, Geschenkartikel
Mesinger Optik & Optometrie	Tanja	Mesinger	Heilbronner Str. 	10	71665	Vaihingen/Enz	Kann aus Google verwendet werden	Augenoptiker Fachgeschäft 	info@mesinger-optik-uhren.de	07042/4233			Meinger Optik und Optometrie		www.mesinger-opti.de		ja	ja	ja	ja	ja	nein	ja	nein	ja	nein	Brillen, Sonnenbrillen, Kontaktlinsen
Naturata bio-markt	Klaus 	Gayer	Stuttgarterstr.	46-52	71665	Vaihingen Enz	Wetransfer	Ihr Bio-Supermarkt in Vaihingen 	naturkost-am-markt@freenet.de	07042 12330		nein	nein 	nein 	https://www.echt-bio.de/biomarkt/naturata-bio-markt/ 	nein 	ja 	ja 		ja 	nein 	nein 	ja	nein 	nein 	nein	Lebensmittel, Bio 
VKZ Reisebüro	Vaihinger	Kreiszeitung	Marktplatz 	15	71665	Vaihingen an der Enz	Kann aus Google verwendet werden	Das VKZ Reisebüro hat für Dich immer die schönsten Reiseziele und die beste Beratung auf Lager, auch per E-Mail und telefonisch.	vkz.reisebuero@derpart.com	07042/91930		www.instagram.com/vkz.reisebuero	www.facebook.com/vkzreisebuero		www.derpart.com/vkz-reisebuero	www.derpart.com/vkz-reisebuero/reise-angebote	nein	nein	per E-Mail und Post	Ja	Nein	Ja	derzeit nicht	Nein	Nein	Nein	Reisen und Veranstaltungen
VKZ	Vaihinger	Kreiszeitung	Marktplatz 	15	71665	Vaihingen an der Enz	Kann aus Google verwendet werden	Mitten in Vaihingen, direkt am Marktplatz, hat die VAIHINGER KREISZEITUNG ihren Sitz. Seit 1830 versorgt die Lokalzeitung ihre Leser mit Nachrichten aus der Heimatregion – aktuell, umfassend und zuverlässig. 	vertrieb@vkz.de anzeigen@vkz.de	07042/9190		https://www.instagram.com/vaihingerkreiszeitung/	https://www.facebook.com/VaihingerKreiszeitung/		https://www.vkz.de/	https://www.vkz.de/abo-service/	nein	nein	per E-Mail 	Ja	Nein	Nein	derzeit nicht	Nein	Nein	Nein	Vertrieb und Anzeigen
